tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt16452940,The Horrors of 2017: The Devil's Candy,2017,"Comedy,Documentary,Horror",5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt16452950,The Horrors of 2017: A Dark Song,2017,"Comedy,Documentary,Horror",6,0.0,0.0,,,,"Two people, one house, one ritual, that's all you need for a horror movie, right? Well, it definitely is all we have here in A Dark Song, so let's see if they're able to pull that off.",,Netherlands,N/A,N/A,N/A,N/A,N/A
tt16452962,The Horrors of 2017: A Cure For Wellness,2017,"Comedy,Documentary,Horror",6,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt16452980,The Horrors of 2017: The Girl With All The Gifts,2017,"Comedy,Documentary,Horror",5,0.0,0.0,,,,"A zombie movie often described as ""a fresh, original addition to the subgenre"". And well, I love zombie movies, so that sounds very promising. Does it live up to its hype? Let's see.",,Netherlands,N/A,N/A,N/A,N/A,N/A
tt16452986,The Horrors of 2017: Hounds Of Love,2017,"Comedy,Documentary,Horror",5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt16452996,The Horrors of 2017: Prevenge,2017,"Comedy,Documentary,Horror",5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt16452998,The Horrors of 2017: Lake Bodom,2017,"Comedy,Documentary,Horror",6,0.0,0.0,,,,"The slasher genre has been done to death, but whenever a new one comes out that supposedly comes with ""an interesting twist"", I'm down. That's how I found out about the Finnish ""Lake Bodom"". Let's see if it's worth our time.",,N/A,N/A,N/A,N/A,N/A,N/A
tt16453004,The Horrors of 2017: Berlin Syndrome,2017,"Comedy,Documentary,Horror",5,0.0,0.0,,,,"Just like Hounds Of Love, a movie we've talk about the other day, here we have another Australian ""abduction movie"", Berlin Syndrome. Does this movie do anything interesting to set itself apart from the other genre films? Let's fi...",,N/A,N/A,N/A,N/A,N/A,N/A
tt16453008,The Horrors of 2017: It Comes At Night,2017,"Comedy,Documentary,Horror",5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt16453012,The Horrors of 2017: The Blackcoat's Daughter,2017,"Comedy,Documentary,Horror",6,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
